,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor
676,2-s2.0-85078297362,10.1088/1757-899X/651/1/012038,,,Numerical simulation of hydraulic bulging using uniaxial and biaxial flow curves and different yield criteria,cp,Conference Paper,Prakash V.,60032730;60000765,Indian Institute of Technology Delhi;Friedrich-Alexander-Universität Erlangen-Nürnberg,New Delhi;Erlangen,India;Germany,4,"Prakash, Ved;Kumar, D. Ravi;Merklein, Marion;Hagenah, Hinnerk",57209121222;57188583620;6603414114;16309576000,60032730;60032730;60000765;60000765,2019-11-26,26 November 2019,IOP Conference Series: Materials Science and Engineering,17578981,19700200831,1757899X,Conference Proceeding,651,1,012038,,"© Published under licence by IOP Publishing Ltd. In sheet metal forming industry, finite element analysis has become a necessary step before actual production of the parts. It helps in the improvement of part quality as well reduces the effort applied in experimental trials. However, the success of finite element simulation mainly depends on the constitutive model used for defining the plastic deformation behaviour of the sheet material. Material characterization in biaxial stress state helps in selecting advanced constitutive models in numerical simulations. In this work, aluminium alloy AA5083 sheet material is characterized in uniaxial and biaxial tension conditions. Hydraulic bulge tests are performed to obtain the flow curves and material properties which are then used to find the coefficients in different yield criteria. These coefficients and the flow curves, fitted using different work hardening laws, are used in finite element simulation of the hydraulic bulge test and the results are validated by experiments.",,0,1,MHRD,1-3/2016,Ministry of Human Resource Development
677,2-s2.0-85067306698,10.1007/s11740-019-00909-z,,,Influence of tribological conditions on application relevant component properties of cold forged gears,ar,Article,Rohrmoser A.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,4,"Rohrmoser, A.;Kiener, C.;Hagenah, H.;Merklein, M.",57209312249;37063280600;16309576000;6603414114,60000765;60000765;60000765;60000765,2019-10-01,1 October 2019,Production Engineering,09446524,15300154820,18637353,Journal,13,5,,579-588,"© 2019, German Academic Society for Production Engineering (WGP). In recent years there have been increasing attempts to enable the production of net-shape gears by forming methods. Cold forging enables improved material and energy efficiency compared to conventional gear manufacturing processes. In the extrusion process, a high surface quality, an increased hardness of the tooth profile as well as a load adapted fibre orientation is achieved. The procedure thus offers the potential to manufacture net-shape gears in a process suitable for series production. Due to the high tribological loads resulting from pronounced deformation and surface enlargement, the tribological conditions substantially influence the process result and the application relevant component properties. The tribological conditions are mainly affected by the applied lubrication system. The aim of this contribution is to investigate the influence of tribological conditions on the resulting component properties of cold forged steel gears. For this purpose different lubrication systems with and without a phosphate conversion layer are applied and the resulting component properties are determined. Phosphate-free lubrication systems offer substantial potential, especially from an ecological point of view. However, the high tribological loads during gear manufacturing pose a challenge. Based on the determined change of the tribological conditions and the resulting component properties, functional correlations are identified. The results show that friction has a distinct influence on the die filling and the application-relevant component properties.",Cold forging | Gears | Lubrication,1,0,DFG,ME 2043/55-1,Deutsche Forschungsgemeinschaft
678,2-s2.0-85071998966,10.1017/dsi.2019.352,,,A methodology for the application of virtual evaluation methods within the design process of cold forged steel pinions,cp,Conference Paper,Rohrmoser A.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,7,"Rohrmoser, Andreas;Heling, Björn;Schleich, Benjamin;Kiener, Christoph;Hagenah, Hinnerk;Wartzack, Sandro;Merklein, Marion",57209312249;57190230927;55308978800;37063280600;16309576000;6506007420;6603414114,60000765;60000765;60000765;60000765;60000765;60000765;60000765,2019-01-01,2019,"Proceedings of the International Conference on Engineering Design, ICED",22204334,21100291832,22204342,Conference Proceeding,2019-August,,,3451-3460,"© 2019 Design Society. All rights reserved. Gears are essential machine elements in the drivetrain and transmission technology. The operational behaviour of a gear pairing is influenced by the design of the gear kinematics as well as the component properties. With regard to an improvement of performance and service life, the targeted modification of tooth geometry and component properties offers a promising approach. Thus, the achievable geometric and mechanical component properties are influenced by the manufacturing process, which must be taken into account in the design process. The application of virtual evaluation methods is suitable for this purpose. For the manufacturing of steel gears, cold forging provides the potential of achieving beneficial mechanical properties in a highly productive process. Major challenges for the industrial application are the short service life of the cost- intensive tools and the low geometric accuracy in comparison to machining processes. Within this study the design of the tooth geometry as well as the associated forming tool are investigated. The aim is to derive recommendations regarding an optimization of the resulting component properties and operational behaviour.",Design process | Gear design | Manufacturing processes | Numerical methods | Simulation,3,1,DFG,ME 2043/55-1,Deutsche Forschungsgemeinschaft
679,2-s2.0-85065420122,10.1016/j.procir.2019.02.055,S2212827119301702,,4.0 in metal forming - Questions and challenges,cp,Conference Paper,Hagenah H.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,7,"Hagenah, Hinnerk;Schulte, Robert;Vogel, Manfred;Hermann, Jürgen;Scharrer, Hannes;Lechner, Michael;Merklein, Marion",16309576000;57057129400;57196258581;56992410800;57208654824;55002401000;6603414114,60000765;60000765;60000765;60000765;60000765;60000765;60000765,2019-01-01,2019,Procedia CIRP,22128271,21100243809,,Conference Proceeding,79,,,649-654,"© 2019 The Author(s). The paper gives a view on perspectives for metal forming processes rising due to the industry 4.0 discussion and its consequences. The discussion starts with a view at aims pursued by introducing 4.0 into metal forming. From the results of this the needed data and required sensors are discussed as well as the potential of their introduction into current processes. At this point the processes in metal forming and their respective demands have to be taken into account as well. From here the step to the specific challenges, e.g. originating from the machine tools at hand, can be elaborated on.",Digital manufacturing system | Lifecycle | Metal forming,4,1,,undefined,
680,2-s2.0-85079754817,10.1017/dsi.2019.351,,,A concept for process-oriented interdisciplinary tolerance management considering production-specific deviations,cp,Conference Paper,Heling B.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,9,"Heling, Bjoern;Oberleiter, Thomas;Rohrmoser, Andreas;Kiener, Christoph;Schleich, Benjamin;Hagenah, Hinnerk;Merklein, Marion;Willner, Kai;Wartzack, Sandro",57190230927;57200333556;57209312249;37063280600;55308978800;16309576000;6603414114;6602808118;6506007420,60000765;60000765;60000765;60000765;60000765;60000765;60000765;60000765;60000765,2019-01-01,2019,"Proceedings of the International Conference on Engineering Design, ICED",22204334,21100291832,22204342,Conference Proceeding,2019-August,,,3441-3450,"© 2019 Design Society. All rights reserved. To meet rising customer requirements, increasingly complex products have to be virtually validated. To achieve this within the framework of virtual product development, a wide range of aspects has to be taken into account. In this context, tolerance analysis has established itself as a proven tool to evaluate the consequences of geometric part deviations on geometric product characteristics. Existing approaches, however, do not sufficiently take into account production-specific deviations, leading to time-consuming iterations during the product development process. Therefore, the focus of this contribution is on process-oriented interdisciplinary tolerance management that allows the integration of manufacturing simulations into the tolerance analysis. In contrast to the conventional approach, this novel methodology allows to avoid unnecessary iterations in the context of product development and validation. Following the presentation of the novel procedure, the application on a case study of an X-ray shutter is carried out, whereby surrogate models are integrated in order to reduce the computing time.",Design for X (DfX) | Robust design | Tolerance representation and management,4,1,DFG,WI1181/8-1,Deutsche Forschungsgemeinschaft
715,2-s2.0-85070239356,10.1002/mawe.201900031,,,Joining of blanks by cold pressure welding: Incremental rolling and strategies for surface activation and heat treatment,ar,Article,Schmidt H.C.,60020238;60004935,Universität Paderborn;Gottfried Wilhelm Leibniz Universität Hannover,Paderborn;Hannover,Germany;Germany,9,"Schmidt, H. C.;Homberg, W.;Orive, A. G.;Grundmeier, G.;Duderija, B.;Hordych, I.;Herbst, S.;Nürnberger, F.;Maier, H. J.",7404731070;6508384303;15765594800;6701708213;57201292572;57188802908;55809006200;8561645900;56385047000,60020238;60020238;60020238;60020238;60020238;60004935;60004935;60004935;60004935,2019-08-01,August 2019,Materialwissenschaft und Werkstofftechnik,09335137,27304,15214052,Journal,50,8,,924-939,"© 2019 Wiley-VCH Verlag GmbH  &  Co. KGaA, Weinheim The cold pressure welding of metals is a joining by forming technique capable of joining both similar and dissimilar metals in their solid state. In this article collective research on the cold pressure welding of metals with the aim of increasing both the overall weld strength and the weld-ability is presented. The application of innovative strategies based on electrochemical methods for an optimized conditioning of metal surfaces is investigated. The results account for a noticeable increase in the weld strength of steel-aluminum joints after a surface activation consisting of either an electrochemical roughening or electrodeposition of a bifunctional organosilane thin film. In addition to the surface activation process regimes for the pre- and post-welding heat treatment is investigated. Both weld strength and weld ability are improved due to heat treatments of steel sheets with various coatings and uncoated aluminium. The cold pressure welding is hereby done by incremental rolling, a new design process that allows for the manufacture of linear and curved joints between sheet metal blanks.",bonding agent | Electrochemical added joining of plates (ECUF) | heat treatment | incremental rolling | intermetallic phases | organosilane,0,0,DFG,undefined,Deutsche Forschungsgemeinschaft
716,2-s2.0-85068876520,10.1063/1.5112535,,,Forming analysis of tailored tubes with an internal contoured wall thickness and external axial ribs manufactured by internal flow-turning,cp,Conference Paper,Wiens E.,60020238,Universität Paderborn,Paderborn,Germany,2,"Wiens, Eugen;Homberg, Werner",57216952795;6508384303,60020238;60020238,2019-07-02,2 July 2019,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2113,,040001,,"© 2019 Author(s). Internal Flow-Turning is an innovative rolling process for the manufacture of tailored tubes with a variable wall thickness contour over the longitudinal axis. The wall thickness distribution is determined solely by the internal diameter created by a special roller tool. The wall thickness is defined by the gap between the roller element on the inside and a die ring on the outside of the tube. The outer diameter of the manufactured tube can remain constant, thus greatly simplifying further processing by hydroforming, for example, or can be structured by ribs in the longitudinal direction. For this reason, internal flow-turned parts offer beneficial characteristics when used as semi-finished parts and are favorable for downstream processing. Depending on the tool design, a wall thickness reduction of >90% of the initial wall thickness is possible. In addition, the roughness of the rolled surface can be significantly improved. Through the incorporation of cold hardening in the process, the strength and hardness of the processed work piece can be improved by up to 70% of the initial state. Internal Flow-Turning is also well-suited to the calibration of a tubular part, since it provides tighter dimensional and geometrical accuracy. By using a die with longitudinal grooves, it is possible to form axial rib elements on the outer surface of the tube. The main subject of this paper is a material flow and forming analysis of the Internal Flow-Turning process. The focus is on a forming analysis in respect of the wall thickness reduction and the shape of various formed axial ribs.",,0,0,,undefined,
717,2-s2.0-85068867973,10.1063/1.5112734,,,Improved set up strategies for steel strip straightening machines,cp,Conference Paper,Rostek T.,60020238,Universität Paderborn,Paderborn,Germany,2,"Rostek, Tim;Homberg, Werner",55703151700;6508384303,60020238;60020238,2019-07-02,2 July 2019,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2113,,170018,,"© 2019 Author(s). Straightening Machines are used in a variety of applications to level metals in semi-manufactured form before it is fed to subsequent forming operations. Roll-type straightening machines are designed to process either strips or bars e.g. The straightening process is based on flexing of the strip upon passing between rolls arranged in two staggered rows. This strengthens the material with increasing plastic deformation by means of strain hardening and implies undesirable reduction in formability when processing high strength materials in particular. However, conventional straightening processes do not adapt to the local varying distortion of coiled strips. The longitudinal bow as variation from a straight line in the vertical plane usually varies according to the related radius of the coiled strip. Thus, first turns imply small radii which increase with distance to the center of the coil. Conventional straightening processes usually adapt to the minimum resulting radius of the strip and, thus, overcompensate the longitudinal bow of the outer turns of the coil. This is accompanied by diminishing mechanical characteristics as formability in particular. Innovative self-correcting process control techniques which adapt to the initial geometric characteristics of the strip are a promising approach to fix this issue optimizing the leveling process. This Paper displays an innovative strategy to improve straightening of high strength steel materials (1.4310). The strategy involves optimized set up techniques which adapt to the current geometrical characteristics of the strip as longitudinal bow in particular. This implies optimized leveling adding minimal plastic deformation and, thus, strain hardening. The improved formability of the leveled strip promotes downstream forming operations to manufacture high performance parts with complex geometries at high strength such as plug contacts e.g.",,0,0,FOSTA,undefined,Forschungsvereinigung Stahlanwendung
718,2-s2.0-85068856851,10.1063/1.5112720,,,Intrinsically lubricated tool inserts for deep drawing applications generated by selective laser melting,cp,Conference Paper,Bader F.,60020238;112632284,Universität Paderborn;Direct Manufacturing Research Center,Paderborn;Paderborn,Germany;Germany,5,"Bader, Fabian;Hengsbach, Florian;Hoyer, Kay Peter;Homberg, Werner;Schaper, Mirko",57209821869;56568269800;57192257584;6508384303;7005437552,60020238;60020238-112632284;60020238-112632284;60020238;60020238-112632284,2019-07-02,2 July 2019,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2113,,170004,,"© 2019 Author(s). Within the scope of this study, an intrinsically lubricated deep drawing die fabricated via laser beam melting (LBM) is investigated. In contrast to the common objective of generating highly dense LBM components, this work endeavors to achieve intended micro-scale porosity. By utilizing permeable structures, in-process closed-loop control of lubrication during the forming operations is feasible. Based on a modified AM scan strategy, the required filigree, porous structures can be generated. Thus, in the present work three permeable specimens are additively generated from the maraging steel 1.2709. The cylindrical specimens are then analyzed via light microscopy (LM), microcomputer tomography (microCT), and with regard to the oil throughput rate. Subsequently, an intrinsically lubricated, AM deep drawing tool die is manufactured and experimentally tested. The findings reveal interesting results for deep drawn specimens with AM deep drawing dies.",,0,0,,undefined,
719,2-s2.0-85068844367,10.1063/1.5112581,,,The role of heat-treatments performed before and after a cold roll bonding process of galvanized steel sheets,cp,Conference Paper,Hordych I.,60020238;60004935,Universität Paderborn;Gottfried Wilhelm Leibniz Universität Hannover,Paderborn;Hannover,Germany;Germany,8,"Hordych, Illia;Herbst, Sebastian;Nürnberger, Florian;Schmidt, Hans Christian;Orive, Alejandro Gonzalez;Homberg, Werner;Grundmeier, Guido;Maier, Hans Jürgen",57188802908;55809006200;8561645900;7404731070;15765594800;6508384303;6701708213;56385047000,60004935;60004935;60004935;60020238;60020238;60020238;60020238;60004935,2019-07-02,2 July 2019,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2113,,050017,,"© 2019 Author(s). A cold roll bonding (CRB) process for the symmetrical bonding of two sheets of the steel DX-51 (1.0226) with a galvanized zinc coating is presented. The coating was applied to form an intermediate layer between the two steel substrates during the bonding. The study is divided in two sections describing the role of the heat treatment prior to the CRB process (heat pre-treatment) as well as after the CRB process (heat post-treatment). The filming theory supposes that for establishing a firm bond, the superficial layers should feature an increased hardness in comparison to the substrate to overcome the oxide film on the surface. Since zinc is more ductile than iron, a bonding of galvanized steel sheets according to this mechanism is rather unlikely. By applying a heat pre-treatment prior to the roll bonding, the formation of brittle intermetallic Fe and Zn phases can be facilitated. These brittle phases fracture during rolling, and thus, allow for a contact of the juvenile formed steel layers. Within this study, steel sheets were heat pre-treated in an oxygen-free atmosphere in the temperature range from 450 °C to 550 °C. Additionally, the influence of the coating's thickness was investigated. A heat post-treatment was performed to strengthen the bond by increased diffusion activity. The influence of the zinc diffusivity was analyzed by heat treatment of the bonded samples in the relevant temperature range for zinc diffusion at 180 °C. The bonds were analyzed by scanning electron microscopy and tensile shear tests.",,0,0,DFG,227635593,Deutsche Forschungsgemeinschaft
720,2-s2.0-85064262508,10.1007/s11740-019-00899-y,,,"Al <inf>2</inf> O <inf>3</inf> /ZrO <inf>2</inf> -8Y <inf>2</inf> O <inf>3</inf> and (Cr,Ti)AlSiN tool coatings to influence the temperature and surface quality in friction-spinning processes",ar,Article,Tillmann W.,60032991;60020238,TU Dortmund University;Universität Paderborn,Dortmund;Paderborn,Germany;Germany,7,"Tillmann, Wolfgang;Fehr, Alexander;Stangier, Dominic;Dildrop, Markus;Homberg, Werner;Lossen, Benjamin;Hijazi, Dina",7006012188;57200584047;56662160600;56401896600;6508384303;55800609400;57208258620,60032991;60032991;60032991;60032991;60020238;60020238;60020238,2019-06-01,1 June 2019,Production Engineering,09446524,15300154820,18637353,Journal,13,3-4,,449-457,"© 2019, German Academic Society for Production Engineering (WGP).  Friction-spinning is an incremental forming process, which is accompanied by complex thermal and mechanical loads in the tool and the formed part. To influence the process temperature, two main process parameters, i.e. the rotation speed and the feed rate, can be adapted. With the objective to improve the tool performance and the quality of the workpiece, this study focuses on a coating concept for friction-spinning tools made of high speed steel (HS6-5-2C, 1.3343). Atmospheric plasma sprayed (APS) Al 2 O 3 and ZrO 2 -8Y 2 O 3 coatings serve as a thermal insulator, while physically vapor deposited (PVD) Ti 16.7 Al 21.8 Si 7.9 N and Cr 18.7 Al 22.2 Si 7.5 N films are applied to increase the hardness of the tools. In addition, duplex coatings, combining the APS and PVD technique, are synthesized to influence both the heat transfer and the tribological properties of friction-spinning tools. Subsequently, all coated tools are tested in a friction-spinning process to form flanges made of AW-6060 (AlMgSi—3.3206) tube materials. The tool temperatures are determined in situ to investigate the impact of the tool coating on the process temperature. Compared to an uncoated tool, the alumina and zirconia coatings contribute to a reduction of the tool temperature by up to half, while the PVD films increase the hardness of the tool by 20 GPa. Furthermore, it is shown that the surface quality of thermally sprayed or PVD coated tools is directly related to the surface roughness of the resulting workpiece.",(Ti/Cr)AlSiN | Duplex coating | Friction-spinning | Process temperature | Surface roughness | Thermal barrier coating,1,0,DFG,HO 2356/11-1,Deutsche Forschungsgemeinschaft
721,2-s2.0-85062147901,10.1016/j.compstruct.2019.02.047,S0263822318346993,,Deep drawing of fiber metal laminates for automotive lightweight structures,ar,Article,Heggemann T.,60020238,Universität Paderborn,Paderborn,Germany,2,"Heggemann, T.;Homberg, W.",57206939529;6508384303,60020238;60020238,2019-05-15,15 May 2019,Composite Structures,02638223,15063,,Journal,216,,,53-57,"© 2019  Current challenges in the automotive industry are the reduction of fuel consumption and the CO 2 emissions of future car generations. These aims can be achieved by reducing the weight of the car, which further improves the driving dynamics. In most currently mass-produced cars, the body accounts for one of the largest parts by weight, and hence designing a lightweight car body assumes great importance for reducing fuel consumption and CO 2 emissions. Extremely lightweight designs can be achieved by using purely composite materials, which are very light but also highly cost intensive and not yet suitable for large scale production due to the necessity of manual processing. A promising approach for the automated, large-scale production of lightweight car structures with a high stiffness to weight ratio is the combination of high strength steel alloys and CFRP prepregs in a special hybrid material/fiber metal laminate (FML) – which can be further processed by forming technologies such as deep drawing. In current research work at the Chair of Forming and Machining Technology (LUF) at the University of Paderborn, innovative manufacturing processes are being developed for the production of high strength automotive structural components made of fiber metal laminates. This paper presents the results of technological and numerical research that is currently being performed at the LUF into the forming of hybrid fiber metal laminates. This paper focuses on the results of basic research and the individual measures (tool, process and material design) necessary for achieving the desired part quality.",Advanced fiber placement | Automotive lightweight design | Carbon fiber reinforced plastic (CFRP) | Deep drawing | Fiber metal laminate | Hybrid forming | Integrated forming | Multi-material system | Sheet metal,8,0,,undefined,Natural Resources Wales
722,2-s2.0-85062259004,10.1016/j.applthermaleng.2019.02.082,S1359431118346362,,Heat transfer enhancement in pillow-plate heat exchangers with dimpled surfaces: A numerical study,ar,Article,Piper M.,60020238;60010055,Universität Paderborn;National University of Oil and Gas «Gubkin University»,Paderborn;Moscow,Germany;Russian Federation,6,"Piper, M.;Zibart, A.;Djakow, E.;Springer, R.;Homberg, W.;Kenig, E. Y.",55517008800;57008198900;57199204517;57199234094;6508384303;7006669230,60020238;60020238;60020238;60020238;60020238;60020238-60010055,2019-05-05,5 May 2019,Applied Thermal Engineering,13594311,13688,,Journal,153,,,142-146,"© 2019 Elsevier Ltd Pillow-plate heat exchangers (PPHE) represent an innovative, fully welded plate-type heat exchanger. They consist of a stack of panels, which are characterized by “pillow-like” surface. The waviness of the channels enhances mixing in the fluid boundary layers, which consequently augments heat transfer. However, PPHE need further optimization in order to compete with corrugated plate heat exchangers with respect to compactness. In this study, a method to enhance heat transfer in PPHE is proposed, based on a surface modification of pillow plates by secondary dimple structures on their primary wavy surface. The new structured surface of the pillow plates promotes stronger near-wall mixing.",Dimples | Heat exchanger | Heat transfer | Pillow plates,9,0,,undefined,
776,2-s2.0-85062997238,10.1177/0021998319835595,,,An experimental study on the bending response of multi-layered fibre-metal-laminates,ar,Article,Kuhtz M.,60018353;60008988;60008069,Technische Universität Dresden;Technische Universität Bergakademie Freiberg;Technische Universität Chemnitz,Dresden;Freiberg;Chemnitz,Germany;Germany;Germany,9,"Kuhtz, M.;Buschner, N.;Henseler, T.;Hornig, A.;Klaerner, M.;Ullmann, M.;Jäger, H.;Kroll, L.;Kawalla, R.",57193881424;36940938900;57147747800;24780464600;26667795000;24315178000;57193484438;55546126500;6603567006,60018353;60008069;60008988;60018353;60008069;60008988;60018353;60008069;60008988,2019-08-01,1 August 2019,Journal of Composite Materials,00219983,21140,1530793X,Journal,53,18,,2579-2591,"© The Author(s) 2019. The combination of thin light metal sheets with fibre-reinforced thermoplastic layers in multi-layered fibre-metal-laminates advantageously combines the properties of both material classes. In this way, components can be developed which have both significantly increased specific properties (strength and stiffness with respect to density) and high energy absorption capacity compared with conventional design with mono materials. However, the structural behaviour of crash structures is decisively determined by material behaviour of the thermoplastic and metal constituents as well as the interface properties between both constituents and the corresponding delamination behaviour. To evaluate the structural response of multi-layered fibre-metal-laminates under highly dynamic loading conditions, Charpy tests were performed, where the test parameters, light metal material configuration, support length and laminate thickness, were varied. Moreover, the metal sheet surfaces were pre-treated by embossing to achieve different surface topologies. The influence of the different test parameters on the specific energy absorption capacity was characterised by the analysis of force–displacement curves.",Charpy impact test | fibre-metal-laminate | interface topology | Lightweight structure,2,1,EC,100285086,European Commission
777,2-s2.0-85068478324,10.1117/12.2515467,,,Acoustic emission localization in composites using the signal power method and embedded transducers,cp,Conference Paper,De Simone M.,60030480;60021097;60018353,University of Bath;University of Surrey;Technische Universität Dresden,Bath;Guildford;Dresden,United Kingdom;United Kingdom;Germany,7,"De Simone, Mario Emanuele;Cuomo, Stefano;Ciampa, Francesco;Meo, Michele;Nitschke, Sandro;Hornig, Andreas;Modler, Niels",57191958046;57209640986;35329294200;8650571500;57192267480;24780464600;15064398600,60030480;60030480;60021097;60030480;60018353;60018353;60018353,2019-01-01,2019,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,40067,1996756X,Conference Proceeding,10971,,109711O,,"© 2019 SPIE. Downloading of the abstract is permitted for personal use only. This work proposes a novel technique for the localization of low-velocity impacts in composites without a-priori knowledge of the mechanical properties nor the speed of propagating waves, thus overcoming current limitations of existing impact localization methods. The proposed algorithm is based on the estimation of the power of acoustic emissions generated by impacts on a composite plate instrumented with embedded piezo-transducers. The signal power values calculated at sparse sensor locations are interpolated over the sample by using radial basis function networks. The impact coordinates on the specimen surface are estimated by a center-of-gravity method based on the interpolated power values. Experimental tests were performed by using both an instrumented impact hammer and a drop tower. The results obtained showed the validity of the presented approach, which was able to identify the impact locations with high level of accuracy.",composite materials | embedded transducers | Impact localization | radial basis functions | signal power method,6,0,H2020,636549,Horizon 2020 Framework Programme
789,2-s2.0-85074801374,10.1016/j.prostr.2019.08.167,S2452321619303774,,Predicting fatigue crack initiation in 3D structures with ADAPCrack3D,cp,Conference Paper,Joy T.,60020238,Universität Paderborn,Paderborn,Germany,2,"Joy, Tintu David;Kullmer, Gunter",57208398581;23004861500,60020238;60020238,2019-01-01,2019,Procedia Structural Integrity,,21100904201,24523216,Conference Proceeding,18,,,287-292,"© 2019 The Authors. Published by Elsevier B.V. The total service life of structures or components that have been under cyclic loading is the combination of load cycles required to initiate a crack or multiple cracks and the load cycles needed to propagate those cracks. Thus prediction of fatigue crack initiation as well as fatigue crack growth is very important in determining the lifetime of structures. Various simulation programs are available to foresee the fatigue crack growth and to calculate load cycles required for crack growth. ADAPCRACK3D is one such automatic crack growth simulation program which uses finite element method to simulate crack growth behavior in 3D structures. It also calculates the crack path, crack growth rate and the load cycles needed for the crack growth up until failure of the structure. ADAPCRACK3D generally uses mechanical and thermal loading conditions. Until now the software only calculates load cycles required for propagating an already initiated crack. Thus the user provided FE-Model contains the location and shape of the initial crack which ADAPCRACK3D uses for simulating the growth of the crack. This paper is an attempt to introduce a numerical procedure in ADAPCRACK3D for automatic crack initiation in 3D structures. 3D models are created with necessary loading conditions and without the initial technical crack. Simulations are performed on these models for finding the stress tensor and maximum principal stresses in the structure. The software then uses this information to calculate the position and the surface where a crack is most likely to occur. The load cycles required to initiate the crack are also calculated using the Smith-Watson-Topper damage parameter. The automatically initiated crack is then used for a crack growth simulation, thereby determining the total lifetime of structure.",Automatic crack initiation | Crack initiation | Crack initiation lifetime | Crack propagation program,0,1,,undefined,
798,2-s2.0-85073153709,10.1007/978-3-030-32040-9_24,,,Reconstruction of a Defective Finger Joint Surface and Development of an Adapted External Fixator,ch,Chapter,Risse L.,60020238,Universität Paderborn,Paderborn,Germany,5,"Risse, Lena;Woodcock, Steven Clifford;Kullmer, Gunter;Schramm, Britta;Richard, Hans Albert",57208397336;57211254813;23004861500;53164713900;55946831100,60020238;60020238;60020238;60020238;60020238,2019-01-01,2019,Lecture Notes in Computational Vision and Biomechanics,22129391,21100380994,22129413,Book Series,34,,,230-238,"© Springer Nature Switzerland AG 2019. Complex injuries are not optimally treatable with standard medical methods, especially when joints or articular surfaces are affected. To achieve an intact and functional joint, the articular surface covered by hyaline cartilage must be restored geometrically correct. Since hyaline cartilage has a poor ability to regenerate, a damaged articular surface requires replacement. This article describes the CAE-assisted preoperative planning of the reconstruction of a defective proximal interphalangeal joint surface. While determining needed medical aids, optimization potentials for existing external fixators have additionally been detected. In the following, the development of an adapted finger fixator with extended pre-, intra- and postoperative adjustment possibilities will be explained. The optimized fixator therefore requires less intraoperative precision. Possible inaccuracies during the surgery can be eliminated due to the adjustment possibilities afterwards. Likewise, it is possible to respond to changing anatomical conditions during the healing process, which grants a greater chance of rehabilitation overall. The basic design and material selections for the fixator are defined through the usage of numerical methods. Subsequently, the reliability is tested by using experimental methods.",Additive manufacturing | External fixator | Finger joint | Transplant,0,0,,undefined,
829,2-s2.0-85078247122,10.1088/1757-899X/651/1/012045,,,Augmented Reality for Forming Technology - Visualisation of Simulation Results and Component Measurement,cp,Conference Paper,Lechner M.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,3,"Lechner, M.;Schulte, R.;Merklein, M.",55002401000;57057129400;6603414114,60000765;60000765;60000765,2019-11-26,26 November 2019,IOP Conference Series: Materials Science and Engineering,17578981,19700200831,1757899X,Conference Proceeding,651,1,012045,,"© Published under licence by IOP Publishing Ltd. In sheet and bulk forming, numerical simulation has become established over the last 20 years as an indispensable tool for research and industrial practice. The numerical calculation of forming processes supports a time- and cost-efficient development in the context of a virtual product evaluation. Currently, simulation and measurement results are mainly displayed on conventional screens. However, this approach has several disadvantages. On the one hand, only cut-outs can be displayed, especially in the case of large components. A visualisation of entire components in real size is often not possible. On the other hand, no direct comparison with the real components is possible. Augmented Reality is a promising approach to solve the challenges outlined above. As part of the contribution, an innovative approach for component validation based on Augmented Reality technology will be introduced. Thereby, the visualisation using different Augmented Reality devices and the feasibility of a measurement task with Augmented Reality devices will be presented.",,1,1,,undefined,
